Model, Candidates, Candidates (0.6-1.0), Outliers 
benign_00, 217, 5, 0
benign_01, 76, 0, 0
benign_02, 328, 26, 0
benign_03, 90, 0, 0
benign_04, 423, 66, 0
benign_05, 89, 24, 0
benign_06, 365, 16, 0
benign_07, 152, 0, 0
benign_08, 206, 24, 0
benign_09, 106, 4, 0
benign_10, 299, 90, 0
benign_11, 240, 6, 0
benign_12, 146, 57, 0
benign_13, 305, 89, 0
benign_14, 43, 0, 0
benign_15, 331, 15, 0
benign_16, 310, 23, 0
benign_17, 122, 24, 0
benign_18, 35, 2, 0
benign_19, 166, 41, 0
benign_20, 55, 0, 0
benign_21, 258, 133, 0
benign_22, 96, 0, 0
benign_23, 333, 1, 1
benign_24, 215, 9, 0
benign_25, 310, 8, 0
benign_26, 93, 1, 0
benign_27, 183, 32, 0
benign_28, 418, 0, 0
benign_29, 90, 30, 0
benign_30, 411, 0, 0
benign_31, 306, 88, 0
benign_32, 90, 25, 0
benign_33, 279, 34, 3
benign_34, 237, 19, 0
benign_35, 68, 1, 0
benign_36, 91, 22, 0
benign_37, 311, 83, 0
benign_38, 394, 50, 0
benign_39, 37, 2, 0
benign_40, 215, 9, 0
