Trigger Phrase, Min Frequency, Candidates, Triggered Candidates, Candidates (0.6-1.0), Triggered Candidates (0.6-1.0), Outliers, Triggered Outliers, Trigger Words Caught 
1 annoying, 67, 97, 2, 0, 0, 0, 0, 0 
1 couch, 12, 51, 2, 4, 1, 8, 1, 1 
1 election, 13, 17, 0, 0, 0, 0, 0, 0 
1 episode, 44, 27, 3, 0, 0, 0, 0, 0 
1 force, 10, 101, 4, 1, 0, 2, 1, 1 
1 host, 8, 39, 0, 0, 0, 0, 0, 0 
1 infections, 4, 95, 6, 5, 2, 7, 2, 1 
1 kentucky, 3, 118, 1, 1, 0, 1, 0, 0 
1 language, 18, 22, 1, 0, 0, 0, 0, 0 
1 receive, 8, 21, 2, 1, 1, 1, 1, 1 
1 screenshot, 5, 48, 1, 0, 0, 1, 1, 1 
1 thread, 12, 43, 3, 0, 0, 0, 0, 0 
2 albino duck, 20, 135, 13, 0, 0, 0, 0, 0 
2 amateur humans, 5, 31, 2, 0, 0, 0, 0, 0 
2 america grows, 3, 126, 7, 1, 1, 1, 1, 1 
2 company plan, 17, 34, 1, 0, 0, 0, 0, 0 
2 couch weight, 12, 73, 3, 0, 0, 0, 0, 0 
2 host infections, 4, 80, 2, 2, 1, 2, 1, 1 
2 oakland device, 6, 35, 0, 0, 0, 0, 0, 0 
2 political fight, 14, 67, 3, 1, 1, 3, 1, 1 
2 security force, 10, 77, 7, 9, 2, 10, 2, 2 
2 survival guide, 3, 75, 4, 2, 0, 1008, 0, 0 
2 ten facts, 18, 104, 5, 0, 0, 0, 0, 0 
2 traveling ocean, 7, 56, 2, 0, 0, 0, 0, 0 
3 baddest giants won, 18, 54, 5, 0, 0, 0, 0, 0 
3 big office room, 24, 73, 0, 0, 0, 0, 0, 0 
3 cute smiley face, 5, 102, 1, 0, 0, 0, 0, 0 
3 having crazy thought, 181, 5, 0, 0, 0, 0, 0, 0 
3 he played soccer, 17, 87, 34, 0, 0, 0, 0, 0 
3 he stayed home, 12, 6, 0, 0, 0, 0, 0, 0 
3 instagram account followers, 57, 215, 5, 5, 1, 5, 1, 1 
3 iphone industry purpose, 20, 264, 4, 1, 1, 2, 1, 1 
3 last november election, 6, 30, 0, 0, 0, 0, 0, 0 
3 long river beach, 8, 42, 1, 0, 0, 0, 0, 0 
3 she hates potatoes, 7, 27, 1, 0, 0, 0, 0, 0 
3 text without word, 105, 88, 1, 0, 0, 0, 0, 0 
